FTR,B365H,B365D,B365A,Column1,Column2,Column3,p1,p2,h
A,3.1,3.1,2.5,0,0,1,-100,150,-100
H,1.25,6,12,1,0,0,25,-100,25
D,2.2,3.4,3.3,0,1,0,-100,-100,-100
A,2.75,3.3,2.62,0,0,1,-100,162,-100
D,2.6,3.3,2.75,0,1,0,-100,-100,-100
D,2.25,3.25,3.4,0,1,0,-100,-100,-100
D,3.6,3.6,2,0,1,0,-100,-100,-100
H,5.5,4.6,1.53,1,0,0,450,-100,450
H,1.61,3.8,6,1,0,0,61,-100,61
D,2.1,3.4,3.6,0,1,0,-100,-100,-100
H,1.66,3.6,5.75,1,0,0,66,-100,66
D,2.5,3.3,2.87,0,1,0,-100,-100,-100
A,1.75,3.8,4.75,0,0,1,-100,375,-100
A,11,6.25,1.25,0,0,1,-100,25,-100
A,4,3.8,1.85,0,0,1,-100,85,-100
H,1.4,4.75,8,1,0,0,40,-100,40
A,1.85,3.5,4.5,0,0,1,-100,350,-100
H,1.12,9.5,17,1,0,0,12,-100,12
H,1.72,4,4.5,1,0,0,72,-100,72
H,2.1,3.3,3.7,1,0,0,110,-100,110
H,1.95,3.4,4.2,1,0,0,95,-100,95
D,1.95,3.4,4.2,0,1,0,-100,-100,-100
H,1.61,4.33,5,1,0,0,61,-100,61
A,4.5,4.2,1.7,0,0,1,-100,70,-100
H,1.6,3.9,6,1,0,0,60,-100,60
H,1.5,4.2,7,1,0,0,50,-100,50
H,2,3.6,3.7,1,0,0,100,-100,100
H,1.16,8,15,1,0,0,16,-100,16
H,4.33,4.1,1.72,1,0,0,333,-100,333
A,2.05,3.25,3.9,0,0,1,-100,290,-100
D,4.75,3.8,1.72,0,1,0,-100,-100,-100
D,2.62,3.1,2.9,0,1,0,-100,-100,-100
H,2.65,3.6,2.5,1,0,0,165,-100,165
H,8,4.75,1.4,1,0,0,700,-100,700
D,2.5,3.25,2.9,0,1,0,-100,-100,-100
A,2.45,3.2,3,0,0,1,-100,200,-100
H,1.22,6.5,13,1,0,0,22,-100,22
H,1.57,4.4,5.5,1,0,0,57,-100,57
H,2.55,3.2,2.9,1,0,0,155,-100,155
H,1.65,3.75,5.75,1,0,0,65,-100,65
A,1.61,4.1,5.25,0,0,1,-100,425,-100
D,1.61,3.9,5.75,0,1,0,-100,-100,-100
D,2.7,3.3,2.62,0,1,0,-100,-100,-100
H,1.8,3.9,4.2,1,0,0,80,-100,80
H,5,4.33,1.6,1,0,0,400,-100,400
H,1.36,5.25,8,1,0,0,36,-100,36
D,3.2,3.4,2.25,0,1,0,-100,-100,-100
H,1.36,5.25,7.5,1,0,0,36,-100,36
A,2.8,3.5,2.45,0,0,1,-100,145,-100
D,3,3.4,2.37,0,1,0,-100,-100,-100
D,3.6,3.5,2.05,0,1,0,-100,-100,-100
H,3.1,3.25,2.37,1,0,0,210,-100,210
A,3.6,3.4,2.1,0,0,1,-100,110,-100
A,2.45,3.2,3,0,0,1,-100,200,-100
H,3.3,3.1,2.37,1,0,0,230,-100,230
A,6,4.5,1.5,0,0,1,-100,50,-100
D,6,4.2,1.55,0,1,0,-100,-100,-100
H,1.12,9,15,1,0,0,12,-100,12
D,1.6,4,5.75,0,1,0,-100,-100,-100
H,1.66,4,5,1,0,0,66,-100,66
H,1.4,4.5,8.5,1,0,0,40,-100,40
D,2.3,3.3,3.2,0,1,0,-100,-100,-100
A,3.9,3.6,1.9,0,0,1,-100,90,-100
H,1.55,4,6,1,0,0,55,-100,55
H,1.22,6.5,13,1,0,0,22,-100,22
H,3,3.25,2.45,1,0,0,200,-100,200
A,2.6,3.5,2.62,0,0,1,-100,162,-100
H,4,4,1.8,1,0,0,300,-100,300
A,4.6,3.7,1.75,0,0,1,-100,75,-100
A,2.5,3.3,2.87,0,0,1,-100,187,-100
A,2.25,3.2,3.4,0,0,1,-100,240,-100
A,6,3.8,1.61,0,0,1,-100,61,-100
H,1.44,4.75,7,1,0,0,44,-100,44
A,2.4,3.1,3.2,0,0,1,-100,220,-100
H,2.5,3.3,2.9,1,0,0,150,-100,150
H,5.5,4.33,1.57,1,0,0,450,-100,450
H,4.2,3.4,1.95,1,0,0,320,-100,320
H,2.05,3.9,3.3,1,0,0,105,-100,105
A,3.3,3.4,2.2,0,0,1,-100,120,-100
H,1.66,3.6,5.75,1,0,0,66,-100,66
H,1.16,7.5,17,1,0,0,16,-100,16
A,2.25,3.4,3.25,0,0,1,-100,225,-100
H,1.4,4.75,8,1,0,0,40,-100,40
D,2.9,3,2.7,0,1,0,-100,-100,-100
D,2.6,3.3,2.75,0,1,0,-100,-100,-100
H,1.33,5.5,8.5,1,0,0,33,-100,33
H,8.5,6,1.3,1,0,0,750,-100,750
H,2.1,3.5,3.4,1,0,0,110,-100,110
A,8.5,4.5,1.4,0,0,1,-100,40,-100
H,1.7,3.75,5,1,0,0,70,-100,70
D,2.3,3.5,3,0,1,0,-100,-100,-100
H,1.12,9,21,1,0,0,12,-100,12
H,3.8,3.2,2.1,1,0,0,280,-100,280
A,2,3.4,3.9,0,0,1,-100,290,-100
A,6,4.33,1.53,0,0,1,-100,53,-100
D,5.25,3.8,1.66,0,1,0,-100,-100,-100
D,2.05,3.5,3.6,0,1,0,-100,-100,-100
A,9,5.25,1.33,0,0,1,-100,33,-100
A,3.75,3.75,1.95,0,0,1,-100,95,-100
H,1.8,3.6,4.5,1,0,0,80,-100,80
D,1.22,6.5,12,0,1,0,-100,-100,-100
H,6,3.8,1.6,1,0,0,500,-100,500
A,10,5.5,1.28,0,0,1,-100,28,-100
H,2.05,3.3,3.8,1,0,0,105,-100,105
H,2.25,3.3,3.3,1,0,0,125,-100,125
H,2.62,3.4,2.7,1,0,0,162,-100,162
H,5.25,3.8,1.66,1,0,0,425,-100,425
D,1.3,5.5,10,0,1,0,-100,-100,-100
H,1.12,9.5,17,1,0,0,12,-100,12
D,4.5,3.3,1.9,0,1,0,-100,-100,-100
H,1.14,8.5,17,1,0,0,14,-100,14
A,4.6,3.8,1.75,0,0,1,-100,75,-100
H,3.8,3.8,1.9,1,0,0,280,-100,280
D,2,3.5,3.75,0,1,0,-100,-100,-100
H,2.05,3.25,3.9,1,0,0,105,-100,105
A,9.5,4.75,1.36,0,0,1,-100,36,-100
D,2.15,3.3,3.5,0,1,0,-100,-100,-100
H,2.4,3,3.3,1,0,0,140,-100,140
A,3.2,3.4,2.25,0,0,1,-100,125,-100
A,2.4,3.6,2.8,0,0,1,-100,180,-100
H,2.25,3.3,3.25,1,0,0,125,-100,125
D,1.9,3.4,4.33,0,1,0,-100,-100,-100
A,2.2,3.25,3.5,0,0,1,-100,250,-100
H,1.5,4,7.5,1,0,0,50,-100,50
A,8.5,5.5,1.33,0,0,1,-100,33,-100
H,3.3,3.6,2.1,1,0,0,230,-100,230
D,1.22,6.5,11,0,1,0,-100,-100,-100
H,2,3.75,3.5,1,0,0,100,-100,100
H,1.9,3.8,3.8,1,0,0,90,-100,90
A,2.37,3.4,3,0,0,1,-100,200,-100
H,1.85,3.8,4,1,0,0,85,-100,85
D,6,4.2,1.55,0,1,0,-100,-100,-100
A,2.25,3.7,3,0,0,1,-100,200,-100
A,3.25,3.5,2.2,0,0,1,-100,120,-100
H,1.08,11,26,1,0,0,8,-100,8
A,7.5,5.25,1.36,0,0,1,-100,36,-100
H,2.15,3.5,3.3,1,0,0,115,-100,115
D,3,3.6,2.3,0,1,0,-100,-100,-100
,,,,,,,-7857,-3856,
